date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,score1,score2,result
2021-10-17,2021,0,,IND,HOU,1517.38262993915,1383.36755507812,0.758710506831473,0.241289493168527,1494.19017917224,1363.29625355944,140.159752653987,75.6381298675543,0.859166233617931,0.140833766382069,105.762984021933,6.46141878514242,31,3,win
2021-10-17,2021,0,,CAR,MIN,1480.00402833493,1488.04635856338,0.581242169756103,0.418757830243897,1484.74134988741,1491.63258379903,120.836834913137,205.353608484568,0.552250445433906,0.447749554566094,8.6626034530101,429.143595777141,28,34,loss
2021-10-17,2021,0,,CHI,GB,1513.17504140565,1631.90513323641,0.42328676447884,0.57671323552116,1500.95497553659,1590.65272169364,58.7616769708439,232.222228262739,0.397104453966072,0.602895546033928,57.892058835928,227.297200645259,14,24,loss
2021-10-17,2021,0,,WSH,KC,1439.85842600356,1594.41683847623,0.37389579957228,0.62610420042772,1472.1180927402,1590.27415726009,86.5756250071469,266.064672772892,0.292498182356858,0.707501817643142,65.3503875017433,226.132347436555,13,31,loss
2021-10-17,2021,0,,DET,CIN,1340.34448180703,1456.1678492151,0.427376562285817,0.572623437714183,1319.371322311,1462.45216207571,158.454590462214,156.911543397395,0.364766984978973,0.635233015021027,64.1402141945021,179.986034755369,11,34,loss
2021-10-17,2021,0,,NYG,LAR,1397.55106151604,1611.63727316074,0.297713626390372,0.702286373609628,1413.15062046738,1603.69771785834,159.800081320149,200.896547831777,0.321369619251683,0.678630380748317,-101.665520710233,264.489794508013,11,38,loss
2021-10-17,2021,0,,CLE,ARI,1563.22019317758,1605.03210330494,0.53332088452872,0.46667911547128,1581.5910847931,1599.62505019173,161.007086505153,238.493616177659,0.541720683737399,0.458279316262601,65.3067575003979,233.414810677971,14,37,loss
2021-10-17,2021,0,,NE,DAL,1497.10841644215,1527.92606197978,0.549034254486325,0.450965745513675,1501.39944559355,1567.448259948,116.312757824452,241.78305419568,0.456063469636372,0.543936530363628,119.967345502951,451.698616693688,29,35,loss
2021-10-17,2021,0,,DEN,OAK,1466.20595065902,1483.96686858075,0.567566659463337,0.432433340536663,1487.61575683221,1465.31453123762,162.307852952491,176.024841229267,0.632336812777326,0.367663187222674,111.381590918091,261.082768588527,24,34,loss
2021-10-17,2021,0,,PIT,SEA,1490.64438764893,1542.65571995445,0.518683492222232,0.481316507777768,1474.11349406882,1534.07406799909,181.364099499504,126.16353737163,0.581432551467352,0.418567448532648,192.668255233005,94.3713038683899,23,20,win
2021-10-18,2021,0,,TEN,BUF,1538.90847265372,1690.42228327639,0.378007610834881,0.621992389165119,1524.2759956108,1659.0448886045,167.209530443973,268.100457603937,0.346235505052192,0.653764494947808,178.010179017089,282.41981998523,34,31,win
